"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 17:04:22 GMT 2024","Thu Aug 22 17:04:22 GMT 2024","79","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"passed","Thu Aug 22 17:03:49 GMT 2024","Thu Aug 22 17:03:50 GMT 2024","692","","test_PetStoreRequests","","","","test_upload_pet_image_format[PNG]",""
"passed","Thu Aug 22 17:03:53 GMT 2024","Thu Aug 22 17:03:58 GMT 2024","4882","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"passed","Thu Aug 22 17:03:52 GMT 2024","Thu Aug 22 17:03:52 GMT 2024","774","","test_PetStoreRequests","","","","test_upload_image_metadata[112324]",""
"passed","Thu Aug 22 17:04:22 GMT 2024","Thu Aug 22 17:04:22 GMT 2024","213","","test_PetStoreRequests","","","","test_update_pet_data",""
"passed","Thu Aug 22 17:03:52 GMT 2024","Thu Aug 22 17:03:53 GMT 2024","773","","test_PetStoreRequests","","","","test_upload_image_metadata[]",""
"passed","Thu Aug 22 17:04:22 GMT 2024","Thu Aug 22 17:04:23 GMT 2024","95","","test_PetStoreRequests","","","","test_find_by_pet_id",""
"failed","Thu Aug 22 17:04:22 GMT 2024","Thu Aug 22 17:04:22 GMT 2024","114","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Thu Aug 22 17:03:58 GMT 2024","Thu Aug 22 17:04:22 GMT 2024","23938","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Thu Aug 22 17:03:51 GMT 2024","Thu Aug 22 17:03:52 GMT 2024","794","","test_PetStoreRequests","","","","test_upload_image_metadata[Random image upload]",""
"passed","Thu Aug 22 17:03:50 GMT 2024","Thu Aug 22 17:03:51 GMT 2024","665","","test_PetStoreRequests","","","","test_upload_pet_image_format[JPEG]",""
