"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 16:55:33 GMT 2024","Thu Aug 22 16:55:34 GMT 2024","591","","test_PetStoreRequests","","","","test_upload_pet_image_format[PNG]",""
"passed","Thu Aug 22 16:55:42 GMT 2024","Thu Aug 22 16:56:03 GMT 2024","21341","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Thu Aug 22 16:55:37 GMT 2024","Thu Aug 22 16:55:42 GMT 2024","4927","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"passed","Thu Aug 22 16:55:36 GMT 2024","Thu Aug 22 16:55:37 GMT 2024","659","","test_PetStoreRequests","","","","test_upload_image_metadata[]",""
"passed","Thu Aug 22 16:55:35 GMT 2024","Thu Aug 22 16:55:36 GMT 2024","723","","test_PetStoreRequests","","","","test_upload_image_metadata[112324]",""
"passed","Thu Aug 22 16:56:03 GMT 2024","Thu Aug 22 16:56:03 GMT 2024","31","","test_PetStoreRequests","","","","test_update_pet_data",""
"passed","Thu Aug 22 16:55:34 GMT 2024","Thu Aug 22 16:55:35 GMT 2024","563","","test_PetStoreRequests","","","","test_upload_pet_image_format[JPEG]",""
"passed","Thu Aug 22 16:55:35 GMT 2024","Thu Aug 22 16:55:35 GMT 2024","740","","test_PetStoreRequests","","","","test_upload_image_metadata[Random image upload]",""
"failed","Thu Aug 22 16:56:03 GMT 2024","Thu Aug 22 16:56:03 GMT 2024","55","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Thu Aug 22 16:56:03 GMT 2024","Thu Aug 22 16:56:03 GMT 2024","33","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"passed","Thu Aug 22 16:56:03 GMT 2024","Thu Aug 22 16:56:03 GMT 2024","175","","test_PetStoreRequests","","","","test_find_by_pet_id",""
