"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 16:41:50 GMT 2024","Thu Aug 22 16:41:51 GMT 2024","1104","","test_PetStoreRequests","","","","test_upload_image_metadata[112324]",""
"passed","Thu Aug 22 16:41:51 GMT 2024","Thu Aug 22 16:41:52 GMT 2024","1125","","test_PetStoreRequests","","","","test_upload_image_metadata[]",""
"passed","Thu Aug 22 16:41:48 GMT 2024","Thu Aug 22 16:41:49 GMT 2024","958","","test_PetStoreRequests","","","","test_upload_pet_image_format[JPEG]",""
"passed","Thu Aug 22 16:41:59 GMT 2024","Thu Aug 22 16:42:25 GMT 2024","25853","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size1-200]",""
"passed","Thu Aug 22 16:41:49 GMT 2024","Thu Aug 22 16:41:50 GMT 2024","1088","","test_PetStoreRequests","","","","test_upload_image_metadata[Random image upload]",""
"passed","Thu Aug 22 16:41:52 GMT 2024","Thu Aug 22 16:41:59 GMT 2024","6818","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size0-200]",""
"failed","Thu Aug 22 16:42:25 GMT 2024","Thu Aug 22 16:42:26 GMT 2024","303","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size3-400]",""
"passed","Thu Aug 22 16:42:26 GMT 2024","Thu Aug 22 16:42:26 GMT 2024","296","","test_PetStoreRequests","","","","test_find_by_pet_id",""
"passed","Thu Aug 22 16:42:25 GMT 2024","Thu Aug 22 16:42:25 GMT 2024","293","","test_PetStoreRequests","","","","test_upload_pet_image_sizes_statuses[img_size2-200]",""
"passed","Thu Aug 22 16:42:26 GMT 2024","Thu Aug 22 16:42:26 GMT 2024","460","","test_PetStoreRequests","","","","test_update_pet_data",""
"passed","Thu Aug 22 16:41:47 GMT 2024","Thu Aug 22 16:41:48 GMT 2024","1045","","test_PetStoreRequests","","","","test_upload_pet_image_format[PNG]",""
